"RecNumbe","F1Age","F2Age","MarriedCouple","UnmarriedCouple","SingleFemale","SingleMale","F1White","F1Black","F1NativeAmer","F1Asian","F1HawaiiP","F1Hispanic","F2White","F2Black","F2NativeAmer","F2Asian","F2HawaiiP","F2Hispanic","SameRaces","KidNotWhParentWh","KidWhParentNotWh","OtherTrans","Adopt","prediction","score.0","score.1"
"262007000000",35,32, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262009000000",50,55, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262011000000",30,45, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262011000000",34,34, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262011000000",30,45, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262011000000",34,34, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262012000000",46,NA, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262014000000",NA,NA,NA,NA,NA,NA, 0, 0, 0, 0, 0,NA, 0, 0, 0, 0, 0,NA, 0, 0, 0, 0,1,"0",0.29260450,0.70739550
"262016000000",38,NA, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,NA, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
"262018000000",55,49, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1,"1",0.83806344,0.16193656
"262019000000",37,45, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.83806344,0.16193656
"262020000000",52,60, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0,1,"1",0.71748087,0.28251913
